user_id,subject_id,subject_name,rating
Base03,16,"Web Programming, Design & Usability",5
Base04,16,"Web Programming, Design & Usability",4
Base05,16,"Web Programming, Design & Usability",5
Base06,16,"Web Programming, Design & Usability",5
Base07,16,"Web Programming, Design & Usability",5
Base08,16,"Web Programming, Design & Usability",4
Base09,16,"Web Programming, Design & Usability",5
Base10,16,"Web Programming, Design & Usability",2
Base11,16,"Web Programming, Design & Usability",
Base12,16,"Web Programming, Design & Usability",4
Base13,16,"Web Programming, Design & Usability",4
Base14,16,"Web Programming, Design & Usability",4
